gene,uniprot,family,chembl_id,smiles,assay_type,value_nm,pchembl,source,pKd
AKT1,P31749,AKT,CHEMBL204213,C(=C/c1cncc(OC[C@@H]2CCN2)c1)\c1ccncc1,IC50,10870.0,4.96,ChEMBL,4.96
AKT1,P31749,AKT,CHEMBL204059,CC(C)[C@H](N)COc1cncc(/C=C/c2ccncc2)c1,IC50,19320.0,4.71,ChEMBL,4.71
AKT1,P31749,AKT,CHEMBL205820,NCCCOc1cncc(/C=C/c2ccncc2)c1,IC50,14710.0,4.83,ChEMBL,4.83
AKT1,P31749,AKT,CHEMBL206382,NCCOc1cncc(/C=C/c2ccncc2)c1,IC50,5080.0,5.29,ChEMBL,5.29
AKT1,P31749,AKT,CHEMBL203673,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1ccccc1,IC50,690.0,6.16,ChEMBL,6.16
AKT1,P31749,AKT,CHEMBL381187,N[C@@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,IC50,26.0,7.58,ChEMBL,7.58
AKT1,P31749,AKT,CHEMBL383264,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,IC50,1.3,8.89,ChEMBL,8.89
AKT1,P31749,AKT,CHEMBL207496,N[C@H](COc1cncc2nc(-c3ccncc3)ccc12)Cc1c[nH]c2ccccc12,IC50,190.0,6.72,ChEMBL,6.72
AKT1,P31749,AKT,CHEMBL205994,N[C@H](CNc1cncc(Nc2cccc3cnccc23)c1)Cc1c[nH]c2ccccc12,IC50,270.0,6.57,ChEMBL,6.57
AKT1,P31749,AKT,CHEMBL206732,N[C@H](CNc1cncc(Oc2cccc3cnccc23)c1)Cc1c[nH]c2ccccc12,IC50,210.0,6.68,ChEMBL,6.68
AKT1,P31749,AKT,CHEMBL205324,N[C@H](COc1cnc2ccc(-c3cccnc3)cc2c1)Cc1c[nH]c2ccccc12,IC50,7090.0,5.15,ChEMBL,5.15
AKT1,P31749,AKT,CHEMBL206819,N[C@H](COc1cnc2ccc(-c3ccncc3)cc2c1)Cc1c[nH]c2ccccc12,IC50,300.0,6.52,ChEMBL,6.52
AKT1,P31749,AKT,CHEMBL205781,NC(=O)c1cccc2c(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cccc12,IC50,2170.0,5.66,ChEMBL,5.66
AKT1,P31749,AKT,CHEMBL439340,Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1C(=O)c1cccc(Cl)c1,IC50,1450.0,5.84,ChEMBL,5.84
AKT1,P31749,AKT,CHEMBL380542,N[C@H](COc1cncc(-c2cccc(Nc3nccs3)c2)c1)Cc1c[nH]c2ccccc12,IC50,6230.0,5.21,ChEMBL,5.21
AKT1,P31749,AKT,CHEMBL202972,N[C@H](COc1cncc(-c2cccc(Nc3ncccn3)c2)c1)Cc1c[nH]c2ccccc12,IC50,3670.0,5.43,ChEMBL,5.43
AKT1,P31749,AKT,CHEMBL207031,N[C@H](COc1cncc(-c2ccc(Nc3ncccn3)cc2)c1)Cc1c[nH]c2ccccc12,IC50,14330.0,4.84,ChEMBL,4.84
AKT1,P31749,AKT,CHEMBL208406,Nc1nccc(Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc2)n1,IC50,2710.0,5.57,ChEMBL,5.57
AKT1,P31749,AKT,CHEMBL378589,N[C@H](COc1cncc(-c2ccc(NC(=O)Nc3ccccc3)nc2)c1)Cc1c[nH]c2ccccc12,IC50,1120.0,5.95,ChEMBL,5.95
AKT1,P31749,AKT,CHEMBL206581,N[C@H](COc1cncc(-c2ccc(-c3nn[nH]n3)cc2)c1)Cc1c[nH]c2ccccc12,IC50,33160.0,4.48,ChEMBL,4.48
